"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"22-1",2019,"L","27-May-19","2-Jun-19","14-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700EDD96A","","M"
"22-1",2019,"L","27-May-19","2-Jun-19","14-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700ED8676","0300035D05","F"
"22-2",2019,"L","15-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDC593","","M"
"22-2",2019,"L","15-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EE0A0D","","F"
"22-3",2019,"L","20-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","01101708F1","","M"
"22-3",2019,"L","20-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","0700EDA42A","","F"
"22-4",2019,"L","27-May-19","2-Jun-19","14-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",6,5,"Success","01101742EB","","M"
"22-4",2019,"L","27-May-19","2-Jun-19","14-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",6,5,"Success","011016E48C","","F"
"25-1",2019,"L","9-May-19","16-May-19","28-May-19","30-May-19","6-Jun-19","14-Jun-19",7,6,"Success","0700EDD973","","M"
"25-1",2019,"L","9-May-19","16-May-19","28-May-19","30-May-19","6-Jun-19","14-Jun-19",7,6,"Success","0700EDDCBB","","F"
"25-2",2019,"L","4-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",8,7,"Success","0700EDC742","","M"
"25-2",2019,"L","4-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",8,7,"Success","0700EE052C","","F"
"25-3",2019,"L","13-May-19","21-May-19","2-Jun-19","3-Jun-19","10-Jun-19","18-Jun-19",7,7,"Success","030002EBD8","","M"
"25-3",2019,"L","13-May-19","21-May-19","2-Jun-19","3-Jun-19","10-Jun-19","18-Jun-19",7,7,"Success","0700EDEC7C","","F"
"27A",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,6,"Success","0700EDCBDC","0300030FD8","M"
"27A",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,6,"Success","0700ED99B4","","F"
"28",2019,"L","14-May-19","21-May-19","2-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,7,"Success","0700EDEA14","","M"
"28",2019,"L","14-May-19","21-May-19","2-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,7,"Success","0700ED8A10","0700EE04B3","F"
"29-3",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,4,"Success","0700ED85C7","","M"
"29-3",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,4,"Success","0700ED87B8","","F"
"29-5",2019,"L","23-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","0700EE1337","","M"
"29-5",2019,"L","23-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","0700EDEF3F","","F"
"29-6",2019,"L","14-May-19","22-May-19","3-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,8,"Success","0700EE28B9","","M"
"29-6",2019,"L","14-May-19","22-May-19","3-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,8,"Success","0700EE3386","","F"
"32",2019,"L","17-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,3,"Success","0700EDB8E5","","M"
"32",2019,"L","17-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,3,"Success","0700EE4081","","F"
"32-2",2019,"L","20-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",6,6,"Success","0700EE38F7","","M"
"32-2",2019,"L","20-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",6,6,"Success","0700EDF704","","F"
"37",2019,"L","13-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",8,5,"Success","0700EE078D","","M"
"37",2019,"L","13-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",8,5,"Success","0700EDED2A","","F"
"37-2",2019,"L","16-May-19","24-May-19","5-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",8,7,"Success","0700EDC6C0","","M"
"37-2",2019,"L","16-May-19","24-May-19","5-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",8,7,"Success","0700EE04FF","","F"
"37-4",2019,"L","16-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,6,"Success","0700EE4554","","M"
"37-4",2019,"L","16-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,6,"Success","0700EDEAD5","","F"
"39-1",2019,"L","15-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDE323","","M"
"39-1",2019,"L","15-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDA01B","","F"
"39-2",2019,"L","20-May-19","28-May-19","9-Jun-19","12-Jun-19","19-Jun-19","27-Jun-19",7,6,"Success","0700EE3CB7","","M"
"39-2",2019,"L","20-May-19","28-May-19","9-Jun-19","12-Jun-19","19-Jun-19","27-Jun-19",7,6,"Success","0700EDFF49","","F"
"39-3",2019,"L","14-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,7,"Success","0700EE34AD","","M"
"39-3",2019,"L","14-May-19","21-May-19","2-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,7,"Success","0700ED9109","","F"
"41",2019,"L","15-May-19","21-May-19","2-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",4,4,"Success","0700EE023F","","M"
"41",2019,"L","15-May-19","21-May-19","2-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",4,4,"Success","0700EE197F","","F"
"41-1",2019,"L","19-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EDA70B","","M"
"41-1",2019,"L","19-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700ED8B76","","F"
"42",2019,"L","16-May-19","28-May-19","9-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",6,6,"Success","01101748AB","","M"
"42",2019,"L","16-May-19","28-May-19","9-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",6,6,"Success","0110170FD3","","F"
